#           k/h    P           
   0.999613E-05   0.220118E+02
   0.110373E-04   0.242085E+02
   0.121870E-04   0.266243E+02
   0.134564E-04   0.292812E+02
   0.148580E-04   0.322032E+02
   0.164057E-04   0.354168E+02
   0.181145E-04   0.389511E+02
   0.200013E-04   0.428381E+02
   0.220847E-04   0.471129E+02
   0.243850E-04   0.518144E+02
   0.269250E-04   0.569849E+02
   0.297295E-04   0.626713E+02
   0.328261E-04   0.689252E+02
   0.362453E-04   0.758029E+02
   0.400207E-04   0.833670E+02
   0.441893E-04   0.916856E+02
   0.487921E-04   0.100834E+03
   0.538743E-04   0.110895E+03
   0.594859E-04   0.121960E+03
   0.656819E-04   0.134128E+03
   0.725234E-04   0.147509E+03
   0.800775E-04   0.162225E+03
   0.884185E-04   0.178407E+03
   0.976282E-04   0.196202E+03
   0.107797E-03   0.215771E+03
   0.119025E-03   0.237287E+03
   0.131423E-03   0.260946E+03
   0.145112E-03   0.286959E+03
   0.160227E-03   0.315559E+03
   0.176917E-03   0.347000E+03
   0.195345E-03   0.381561E+03
   0.215692E-03   0.419549E+03
   0.238159E-03   0.461299E+03
   0.262965E-03   0.507175E+03
   0.290356E-03   0.557576E+03
   0.320600E-03   0.612937E+03
   0.353994E-03   0.673731E+03
   0.390866E-03   0.740468E+03
   0.431579E-03   0.813706E+03
   0.476532E-03   0.894041E+03
   0.526168E-03   0.982118E+03
   0.580974E-03   0.107863E+04
   0.641489E-03   0.118431E+04
   0.708307E-03   0.129994E+04
   0.782085E-03   0.142636E+04
   0.863548E-03   0.156443E+04
   0.953495E-03   0.171508E+04
   0.105281E-02   0.187925E+04
   0.116247E-02   0.205791E+04
   0.128356E-02   0.225206E+04
   0.141725E-02   0.246267E+04
   0.156488E-02   0.269071E+04
   0.172788E-02   0.293708E+04
   0.190785E-02   0.320259E+04
   0.210658E-02   0.348794E+04
   0.232600E-02   0.379366E+04
   0.256828E-02   0.412007E+04
   0.283579E-02   0.446721E+04
   0.313117E-02   0.483478E+04
   0.345731E-02   0.522209E+04
   0.381743E-02   0.562795E+04
   0.421506E-02   0.605057E+04
   0.465410E-02   0.648752E+04
   0.513887E-02   0.693557E+04
   0.567414E-02   0.739065E+04
   0.626517E-02   0.784773E+04
   0.691775E-02   0.830068E+04
   0.763831E-02   0.874223E+04
   0.843392E-02   0.916385E+04
   0.931241E-02   0.955574E+04
   0.102824E-01   0.990677E+04
   0.113534E-01   0.102046E+05
   0.125360E-01   0.104358E+05
   0.138418E-01   0.105863E+05
   0.152835E-01   0.106419E+05
   0.168755E-01   0.106230E+05
   0.186332E-01   0.104588E+05
   0.205741E-01   0.101701E+05
   0.227171E-01   0.973063E+04
   0.250833E-01   0.919678E+04
   0.276960E-01   0.858203E+04
   0.305809E-01   0.788815E+04
   0.337662E-01   0.716256E+04
   0.372833E-01   0.646546E+04
   0.411668E-01   0.583517E+04
   0.452834E-01   0.531926E+04
   0.494001E-01   0.494605E+04
   0.535168E-01   0.466592E+04
   0.576335E-01   0.443891E+04
   0.617501E-01   0.422841E+04
   0.658668E-01   0.400935E+04
   0.699835E-01   0.376749E+04
   0.741002E-01   0.351336E+04
   0.782168E-01   0.323132E+04
   0.823335E-01   0.294869E+04
   0.864502E-01   0.268191E+04
   0.915834E-01   0.239151E+04
   0.967165E-01   0.216231E+04
   0.101850E+00   0.199634E+04
   0.106983E+00   0.188260E+04
   0.112116E+00   0.180245E+04
   0.117249E+00   0.173608E+04
   0.122382E+00   0.166677E+04
   0.127516E+00   0.158407E+04
   0.132649E+00   0.148594E+04
   0.137782E+00   0.137753E+04
   0.142915E+00   0.126733E+04
   0.148048E+00   0.116417E+04
   0.153181E+00   0.107561E+04
   0.158315E+00   0.100589E+04
   0.163448E+00   0.954353E+03
   0.168581E+00   0.916537E+03
   0.173714E+00   0.886772E+03
   0.178847E+00   0.859768E+03
   0.183981E+00   0.830963E+03
   0.189114E+00   0.797297E+03
   0.194247E+00   0.758331E+03
   0.199380E+00   0.716132E+03
   0.204513E+00   0.673761E+03
   0.209646E+00   0.634014E+03
   0.214780E+00   0.598962E+03
   0.219913E+00   0.569738E+03
   0.225046E+00   0.546304E+03
   0.230179E+00   0.527529E+03
   0.235312E+00   0.511666E+03
   0.240446E+00   0.496883E+03
   0.245579E+00   0.481663E+03
   0.250712E+00   0.465112E+03
   0.255845E+00   0.447112E+03
   0.260978E+00   0.428200E+03
   0.266111E+00   0.409244E+03
   0.271245E+00   0.391136E+03
   0.276378E+00   0.374588E+03
   0.281511E+00   0.360011E+03
   0.286644E+00   0.347449E+03
   0.291777E+00   0.336594E+03
   0.296910E+00   0.326909E+03
   0.302044E+00   0.317806E+03
   0.307177E+00   0.308797E+03
   0.312310E+00   0.299584E+03
   0.317443E+00   0.290066E+03
   0.322576E+00   0.280329E+03
   0.327710E+00   0.270614E+03
   0.332843E+00   0.261222E+03
   0.337976E+00   0.252407E+03
   0.343109E+00   0.244295E+03
   0.348242E+00   0.236903E+03
   0.353375E+00   0.230167E+03
   0.358509E+00   0.223962E+03
   0.363642E+00   0.218108E+03
   0.368775E+00   0.212423E+03
   0.373908E+00   0.206784E+03
   0.379041E+00   0.201148E+03
   0.384174E+00   0.195526E+03
   0.389308E+00   0.189972E+03
   0.394441E+00   0.184558E+03
   0.399574E+00   0.179367E+03
   0.404707E+00   0.174453E+03
   0.409840E+00   0.169836E+03
   0.414974E+00   0.165498E+03
   0.420107E+00   0.161404E+03
   0.425240E+00   0.157503E+03
   0.430373E+00   0.153741E+03
   0.435506E+00   0.150070E+03
   0.440639E+00   0.146463E+03
   0.445773E+00   0.142914E+03
   0.450906E+00   0.139431E+03
   0.456039E+00   0.136033E+03
   0.461172E+00   0.132739E+03
   0.466305E+00   0.129572E+03
   0.471439E+00   0.126540E+03
   0.476572E+00   0.123641E+03
   0.481705E+00   0.120861E+03
   0.486838E+00   0.118190E+03
   0.491971E+00   0.115612E+03
   0.497104E+00   0.113108E+03
   0.502238E+00   0.110663E+03
   0.507371E+00   0.108272E+03
   0.512504E+00   0.105937E+03
   0.517637E+00   0.103661E+03
   0.522770E+00   0.101445E+03
   0.527903E+00   0.992931E+02
   0.533037E+00   0.972128E+02
   0.538170E+00   0.952046E+02
   0.543303E+00   0.932628E+02
   0.548436E+00   0.913817E+02
   0.553569E+00   0.895580E+02
   0.558703E+00   0.877874E+02
   0.563836E+00   0.860630E+02
   0.568969E+00   0.843792E+02
   0.574102E+00   0.827355E+02
   0.579235E+00   0.811331E+02
   0.584368E+00   0.795713E+02
   0.589502E+00   0.780491E+02
   0.594635E+00   0.765675E+02
   0.599768E+00   0.751284E+02
   0.618797E+00   0.701344E+02
   0.639771E+00   0.651469E+02
   0.661456E+00   0.604869E+02
   0.683876E+00   0.561517E+02
   0.707056E+00   0.521124E+02
   0.731022E+00   0.483484E+02
   0.755800E+00   0.448465E+02
   0.781418E+00   0.415857E+02
   0.807904E+00   0.385520E+02
   0.835288E+00   0.357302E+02
   0.863600E+00   0.331069E+02
   0.892872E+00   0.306690E+02
   0.923137E+00   0.284033E+02
   0.954426E+00   0.262992E+02
   0.986777E+00   0.243448E+02
   0.102022E+01   0.225306E+02
   0.105480E+01   0.208463E+02
   0.109056E+01   0.192839E+02
   0.112752E+01   0.178345E+02
   0.116574E+01   0.164906E+02
   0.120525E+01   0.152448E+02
   0.124610E+01   0.140901E+02
   0.128834E+01   0.130200E+02
   0.133201E+01   0.120286E+02
   0.137716E+01   0.111105E+02
   0.142384E+01   0.102605E+02
   0.147210E+01   0.947363E+01
   0.152200E+01   0.874537E+01
   0.157358E+01   0.807160E+01
   0.162692E+01   0.744832E+01
   0.168206E+01   0.687194E+01
   0.173908E+01   0.633893E+01
   0.179802E+01   0.584620E+01
   0.185897E+01   0.539087E+01
   0.192198E+01   0.497015E+01
   0.198712E+01   0.458144E+01
   0.205448E+01   0.422243E+01
   0.212411E+01   0.389088E+01
   0.219611E+01   0.358478E+01
   0.227055E+01   0.330222E+01
   0.234751E+01   0.304144E+01
   0.242708E+01   0.280083E+01
   0.250935E+01   0.257885E+01
   0.259440E+01   0.237410E+01
   0.268234E+01   0.218526E+01
   0.277325E+01   0.201114E+01
   0.286726E+01   0.185062E+01
   0.296444E+01   0.170268E+01
   0.306492E+01   0.156632E+01
   0.316881E+01   0.144069E+01
   0.327621E+01   0.132495E+01
   0.338726E+01   0.121834E+01
   0.350207E+01   0.112015E+01
   0.362078E+01   0.102975E+01
   0.374350E+01   0.946510E+00
   0.387039E+01   0.869885E+00
   0.400158E+01   0.799362E+00
   0.413721E+01   0.734463E+00
   0.427744E+01   0.674752E+00
   0.442243E+01   0.619815E+00
   0.457232E+01   0.569281E+00
   0.472730E+01   0.522804E+00
   0.488754E+01   0.480067E+00
   0.505320E+01   0.440770E+00
   0.522448E+01   0.404643E+00
   0.540156E+01   0.371433E+00
   0.558465E+01   0.340913E+00
   0.577394E+01   0.312863E+00
   0.596965E+01   0.287090E+00
   0.617199E+01   0.263411E+00
   0.638120E+01   0.241658E+00
   0.659748E+01   0.221681E+00
   0.682111E+01   0.203332E+00
   0.705231E+01   0.186482E+00
   0.729135E+01   0.171012E+00
   0.753849E+01   0.156809E+00
   0.779401E+01   0.143771E+00
   0.805818E+01   0.131804E+00
   0.833132E+01   0.120822E+00
   0.861371E+01   0.110744E+00
   0.890567E+01   0.101496E+00
   0.920753E+01   0.930124E-01
   0.951962E+01   0.852294E-01
   0.984229E+01   0.780904E-01
   0.101759E+02   0.715431E-01
   0.105208E+02   0.655388E-01
   0.108774E+02   0.600327E-01
   0.112461E+02   0.549846E-01
   0.116273E+02   0.503567E-01
